,k,auc_cv,auc_test,auc_cv_sc,auc_test_sc
0,1.0,0.5774620626299496,0.6012461059190031,0.7528694113996575,0.7912772585669782
1,2.0,0.585998530799859,0.4951540325372101,0.8023452270134109,0.6526479750778815
2,3.0,0.5992918764796858,0.5737279335410177,0.8336066705269818,0.7312218760816892
3,4.0,0.6004205992610021,0.4742990654205608,0.848436629342142,0.6943579093111804
4,5.0,0.6046683671599563,0.520508826583593,0.8512980106345982,0.7056940117687781
5,6.0,0.6064205308503526,0.5021633783316026,0.8564701896522378,0.6873485635167879
6,7.0,0.6044918961884681,0.5160089996538594,0.8511705510070617,0.7035306334371755
7,8.0,0.6092995726777638,0.5091727241259951,0.8504804545073252,0.6549844236760124
8,9.0,0.6161010449726725,0.5160089996538594,0.8586783021779834,0.6711664935964001
9,10.0,0.6191690752916207,0.49065420560747663,0.8626264355038241,0.6364659051574939
10,11.0,0.6288538528633522,0.49065420560747663,0.8653100875574873,0.6711664935964001
11,12.0,0.6371338625385726,0.4976635514018692,0.8669312000612438,0.6179473866389755
12,13.0,0.6512550544475473,0.4953271028037383,0.8654888755325241,0.6711664935964001
13,14.0,0.6470345327186149,0.4976635514018692,0.8674701904666502,0.6549844236760124
14,15.0,0.6477452338544759,0.4976635514018692,0.8672977711973248,0.6526479750778815
15,16.0,0.6439775295448493,0.5,0.868502763708802,0.6411388023537556
16,17.0,0.6454733324700561,0.5,0.8723572110932756,0.6526479750778815
17,18.0,0.6453763074374592,0.5,0.8760571481391896,0.6202838352371063
18,19.0,0.6460910276989834,0.5,0.8755554211774939,0.6388023537556248
19,20.0,0.6431288954367653,0.5,0.8767043861813747,0.6411388023537556
20,21.0,0.6474287002220903,0.5,0.8778903703052174,0.6364659051574939
21,22.0,0.6513123605827611,0.5,0.8788046786369016,0.6388023537556248
22,23.0,0.6476118493760379,0.5,0.8778123780926297,0.6388023537556248
23,24.0,0.6471170327043627,0.5,0.8771261256198699,0.6411388023537556
24,25.0,0.6451422330701966,0.5,0.874229472122253,0.6411388023537556
25,26.0,0.6447999110661555,0.5,0.8742320700981123,0.6434752509518865
26,27.0,0.6463547629693153,0.5,0.8746767189600929,0.6434752509518865
27,28.0,0.6455217818693862,0.5,0.8770342883948665,0.6249567324333679
28,29.0,0.6448750324746981,0.5,0.8733016811917136,0.6226202838352372
29,30.0,0.6489135737316137,0.5,0.8730108341294216,0.6226202838352372
