Complexity,Loss,Equation
1,1.1499301,"0.68296325"
2,1.0256188,"sin(theta)"
3,1.009637,"(0.019040663 * Tw)"
4,0.9465639,"cos2(Ta / Tw)"
5,0.5716818,"((Tw - Ta) / 17.737846)"
6,0.42982614,"square((Tw - Ta) / -21.88182)"
8,0.31593966,"(((Tw - Ta) / 11.414163) * sin(theta))"
9,0.12511049,"(square((Tw - Ta) / -17.495106) * sin(theta))"
11,0.056142047,"(square(((Tw - Ta) / -14.05656) + eta) * sin(theta))"
12,0.019176869,"(square(((Tw - Ta) / 15.15833) * cos(eta)) * sin(theta))"
13,0.013328496,"(square((Tw - Ta) / 17.75263) * (sin(theta) * (1.5037042 - eta)))"
15,0.012760831,"(square((Tw - Ta) / (14.782348 + (sin2(sin(eta)) / 0.067480795))) * sin(theta))"
16,0.012760532,"(square((Tw - Ta) / (14.782348 + (sin2(sin(eta)) / sin(0.067480795)))) * sin(theta))"
17,0.012756579,"(square((Tw - Ta) / (14.782348 + (sin2(sin(eta)) / 0.067497626))) * sin(theta - 0.003572253))"
18,0.012753755,"(square((Tw - Ta) / (14.782348 + (sin2(sin(eta)) / 0.067497626))) * sin(theta - square(0.04727806)))"
19,0.012601983,"(square((Tw - Ta) / (14.782348 + (sin2(sin(eta)) / inv(14.782348 + sin2(Ta))))) * sin(theta))"
20,0.012485013,"(square((Tw - Ta) / (14.782348 + (sin2(sin(eta)) / inv(14.782348 + sin(cube(theta)))))) * sin(theta))"
